"IMEI Traceur","Date:","Lat:","Long:","Vitesse:","Signal:","Orient:","Etat:","Distance:","Odometer(KM)","Addresse:",
"MITSUBISHI 5251FL01","2012-02-28 00:00:10","9.469243","-5.61478","0.037","1","96.29","Position GPS<!--268328-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:00:25","9.469248","-5.614782","0.037","1","66.63","Position GPS<!--268329-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:00:40","9.469252","-5.614782","0.0555","1","247.81","Position GPS<!--268330-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:00:56","9.469252","-5.614787","0.1295","1","118.29","Position GPS<!--268331-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:01:23","9.469253","-5.614795","0.111","1","123.46","Position GPS<!--268332-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:01:54","9.469258","-5.61479","0.148","1","140.35","Position GPS<!--268333-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:02:24","9.469263","-5.614785","0.1295","1","147.9","Position GPS<!--268334-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:02:54","9.469265","-5.614792","0.1295","1","149","Position GPS<!--268335-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:03:24","9.469267","-5.614795","0.111","1","142.38","Position GPS<!--268336-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:03:54","9.469288","-5.614812","0.1295","1","134.6","Position GPS<!--268337-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:04:24","9.46928","-5.614805","0.111","1","156.66","Position GPS<!--268338-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:04:39","9.46927","-5.614793","0.2405","1","123.57","Position GPS<!--268339-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:05:11","9.46928","-5.614785","0.111","1","139.81","Position GPS<!--268340-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:05:27","9.469273","-5.61478","0.111","1","208.03","Position GPS<!--268341-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:05:57","9.469252","-5.614767","0.185","1","128.87","Position GPS<!--268342-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:06:27","9.469245","-5.614763","0.2775","1","120.4","Position GPS<!--268343-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:06:57","9.469223","-5.61474","0.1665","1","128.63","Position GPS<!--268344-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:07:27","9.469228","-5.614747","0.148","1","128.85","Position GPS<!--268345-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:07:57","9.46923","-5.614745","0.148","1","136.06","Position GPS<!--268346-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:08:27","9.469233","-5.614748","0.148","1","149.64","Position GPS<!--268347-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:08:57","9.469235","-5.614747","0.1665","1","129.81","Position GPS<!--268348-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:09:27","9.469242","-5.614748","0.185","1","131.81","Position GPS<!--268349-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:09:57","9.469248","-5.614752","0.222","1","121.62","Position GPS<!--268350-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:10:27","9.469257","-5.614762","0.1295","1","130.8","Position GPS<!--268351-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:10:57","9.469265","-5.61477","0.0925","1","137.36","Position GPS<!--268352-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:11:27","9.469273","-5.614772","0.111","1","158.31","Position GPS<!--268353-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:11:57","9.469278","-5.614772","0.111","1","141.22","Position GPS<!--268354-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:12:27","9.469282","-5.614772","0.148","1","135.63","Position GPS<!--268355-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:12:57","9.469285","-5.614772","0.111","1","134.27","Position GPS<!--268356-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:13:27","9.469285","-5.614768","0.148","1","133.05","Position GPS<!--268357-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:13:57","9.469285","-5.61477","0.1295","1","142.52","Position GPS<!--268358-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:14:27","9.469287","-5.614772","0.148","1","137.61","Position GPS<!--268359-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:14:57","9.469287","-5.614772","0.0925","1","131.97","Position GPS<!--268360-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:15:26","9.469287","-5.614762","0.1665","1","131.86","Position GPS<!--268361-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:15:57","9.469288","-5.614757","0.074","1","119.99","Position GPS<!--268362-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:16:27","9.469287","-5.614755","0.1295","1","127.65","Position GPS<!--268363-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:16:52","9.469282","-5.614753","0.037","1","161.23","Position GPS<!--268364-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:17:23","9.469278","-5.614757","0.0555","1","134.57","Position GPS<!--268365-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:17:53","9.469278","-5.614758","0.0555","1","153.15","Position GPS<!--268366-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:18:23","9.469278","-5.614757","0.0925","1","137.12","Position GPS<!--268367-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:18:53","9.469278","-5.614757","0.074","1","137.24","Position GPS<!--268368-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:19:23","9.469278","-5.614758","0.0925","1","123.52","Position GPS<!--268369-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:19:53","9.469278","-5.61476","0.074","1","135.31","Position GPS<!--268370-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:20:11","9.469278","-5.61476","0.1295","1","99.26","Position GPS<!--268371-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:20:41","9.469282","-5.614757","0.111","1","112.77","Position GPS<!--268372-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:21:11","9.469285","-5.614753","0.111","1","114.23","Position GPS<!--268373-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:21:41","9.469287","-5.61475","0.111","1","102.63","Position GPS<!--268374-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:22:00","9.469287","-5.61475","0.0555","1","158.24","Position GPS<!--268375-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:22:29","9.469285","-5.61475","0.074","1","119.81","Position GPS<!--268376-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:22:46","9.469285","-5.61475","0.0925","1","99.71","Position GPS<!--268377-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:23:15","9.469285","-5.614753","0.037","1","232.43","Position GPS<!--268378-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:23:36","9.469285","-5.614753","0.0555","1","203.69","Position GPS<!--268379-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:24:05","9.469285","-5.614752","0.037","1","204.44","Position GPS<!--268380-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:24:28","9.469285","-5.614752","0.1665","1","61.68","Position GPS<!--268381-->","0.00","11,425.30","",
"MITSUBISHI 5251FL01","2012-02-28 00:24:45","9.469578","-5.614405","12.136","1","36.93","Position GPS<!--268382-->","0.05","11,425.40","",
"MITSUBISHI 5251FL01","2012-02-28 00:24:58","9.46997","-5.61464","31.561","1","318.24","Position GPS<!--268383-->","0.05","11,425.40","",
"MITSUBISHI 5251FL01","2012-02-28 00:25:25","9.470695","-5.615335","12.4135","1","12.51","Position GPS<!--268384-->","0.16","11,425.50","",
"MITSUBISHI 5251FL01","2012-02-28 00:25:56","9.471345","-5.61472","19.4805","1","43.76","Position GPS<!--268385-->","0.26","11,425.60","",
"MITSUBISHI 5251FL01","2012-02-28 00:26:26","9.472753","-5.6133","55.722","1","47.35","Position GPS<!--268386-->","0.48","11,425.70","",
"MITSUBISHI 5251FL01","2012-02-28 00:26:44","9.47391","-5.612043","20.091","1","359.72","Position GPS<!--268387-->","0.67","11,425.90","",
"MITSUBISHI 5251FL01","2012-02-28 00:27:16","9.476577","-5.615392","75.4985","1","297.27","Position GPS<!--268388-->","1.14","11,426.40","",
"MITSUBISHI 5251FL01","2012-02-28 00:27:46","9.477888","-5.62162","80.179","1","275.52","Position GPS<!--268389-->","1.84","11,427.00","",
"MITSUBISHI 5251FL01","2012-02-28 00:28:16","9.478423","-5.62738","75.4615","1","275.17","Position GPS<!--268390-->","2.47","11,427.60","",
"MITSUBISHI 5251FL01","2012-02-28 00:28:46","9.479007","-5.633242","76.96","1","275.25","Position GPS<!--268391-->","3.12","11,428.20","",
"MITSUBISHI 5251FL01","2012-02-28 00:29:16","9.479473","-5.638168","49.062","1","274.27","Position GPS<!--268392-->","3.66","11,428.60","",
"MITSUBISHI 5251FL01","2012-02-28 00:29:46","9.479557","-5.641172","17.4455","1","294.08","Position GPS<!--268393-->","3.99","11,428.90","",
"MITSUBISHI 5251FL01","2012-02-28 00:30:00","9.4804","-5.641232","28.9155","1","0.86","Position GPS<!--268394-->","4.09","11,429.00","",
"MITSUBISHI 5251FL01","2012-02-28 00:30:13","9.481392","-5.641183","31.5055","1","2.93","Position GPS<!--268395-->","4.09","11,429.00","",
"MITSUBISHI 5251FL01","2012-02-28 00:30:28","9.482087","-5.641405","16.7795","1","275.22","Position GPS<!--268396-->","4.17","11,429.10","",
"MITSUBISHI 5251FL01","2012-02-28 00:30:45","9.482178","-5.641532","0.074","1","137.79","Position GPS<!--268397-->","4.17","11,429.10","",
"MITSUBISHI 5251FL01","2012-02-28 00:31:05","9.482175","-5.641525","0.037","1","171.77","Position GPS<!--268398-->","4.17","11,429.10","",
"MITSUBISHI 5251FL01","2012-02-28 00:31:26","9.482172","-5.64152","0.0555","1","276.43","Position GPS<!--268399-->","4.17","11,429.10","",
